التاريخ,البند الرئيسي,تفاصيل,أونلاين / مصنع,المبلغ (جم),طريقة الدفع,ملاحظات,,,,,,,,,,,,,,,,,,,
25/12/23,اكراميات,٢٠٠ مشال,,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/23,مستلزمات اونلاين,١٠٠ج شوالة,,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/23,إعلانات عايدة,٢٤ الف عايدة,,EGP 24٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/23,إعلانات اوفر,٩ الف اوفر سايز,,EGP 9٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/24,سلف مصنع,سلفة مني 1400,,EGP 1٬400٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/24,اكراميات,٢٠٠ مشال,,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/24,سلف مصنع,٥٠ سلفه محمود,,EGP 50٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/24,إعلانات عايدة,٢٥ الف عايدة اعلانات,,EGP 25٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/24,إعلانات اوفر,٨٥٠٠ اوفر سايز,,EGP 8٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/24,مستلزمات تصنع,من حساب تيكت 3100,,EGP 3٬100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/24,إعلانات عايدة,٣٤٠٠ باقي اعلانات عايدة,,EGP 3٬400٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/25,إعلانات عايدة,٤٣ الف عايدة,أونلاين,EGP 43٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/25,إعلانات اوفر,١٣٥٠٠ اوفر سايز,أونلاين,EGP 13٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/25,قماش,٥٠٥٧٠ الف من حساب ميلتون,مصنع,EGP 50٬570٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/25,موديل وبلوجر,2000 بلوجر اوفر سايز,أونلاين,EGP 2٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/25,مرتبات مصنع,12345 مرتبات اسبوع,مصنع,EGP 12٬345٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/25,صيانه مصنع,٦٠٠ لمبات للمصنع,مصنع,EGP 600٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/25,حساب ريهام,٥٠٠٠ الف ريهام,مصنع,EGP 5٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/25,مرتبات اونلاين,١٠ الف اسامة من شهر جديد,أونلاين,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,قماش,٥٠ الف من حساب بشار,مصنع,EGP 50٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,إعلانات عايدة,٢٤ الف عايدة,أونلاين,EGP 24٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,إعلانات اوفر,١٠ الف اوفر سايز,أونلاين,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,مستلزمات تصنع,١٦٠٠ كينار,مصنع,EGP 1٬600٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,قماش,٤٧٨٠ قماش شال,مصنع,EGP 4٬780٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,سلف اونلاين,٤٠٠ سلفه شهد,أونلاين,EGP 400٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,سلف مصنع,100 سلفه هايدى,مصنع,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,انتقالات,٤٥ اسكوتر,مصنع,EGP 45٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,اكراميات,400 مشال,مصنع,EGP 400٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,سلف اونلاين,رانيا سلفه ٢٠٠,أونلاين,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/27,مستلزمات اونلاين,و٢٠٠ قلم ماركر,أونلاين,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/28,إعلانات اوفر,٢٠٠٠ اوفر سايز اعلانات,أونلاين,EGP 2٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/28,مستلزمات تصنع,900 خيط,مصنع,EGP 900٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/28,سلف مصنع,٢٠٠٠ سلفه محمود,مصنع,EGP 2٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/28,سلف مصنع,١٠٠ سلفه سماح,مصنع,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/28,سلف اونلاين,١٠٠ سلفه شهد,أونلاين,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/28,سلف مصنع,١٠٠ هيدي,مصنع,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,إعلانات عايدة,٢٥ الف عايدة,أونلاين,EGP 25٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,إعلانات اوفر,١٠ الف اوفر سايز,أونلاين,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,اكراميات,٢٠٠ مشال,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/29,إعلانات عايدة,٢٣٥٠٠ عايدة,أونلاين,EGP 23٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
